,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
0,2017,3,1,00:00, ,10.6,,7.1,,79.0,,,M,,M,,,99.16,,,,,,
1,2017,3,1,01:00, ,9.8,,8.5,,92.0,,,M,,M,,,99.05,,,,,,
2,2017,3,1,02:00, ,9.9,,9.0,,94.0,,,M,,M,,,98.83,,,,,,
3,2017,3,1,03:00, ,9.8,,8.9,,94.0,,,M,,M,,,98.61,,,,,,
4,2017,3,1,04:00, ,9.3,,8.5,,95.0,,,M,,M,,,98.4,,,,,,
5,2017,3,1,05:00, ,10.6,,9.8,,95.0,,,M,,M,,,98.35,,,,,,
6,2017,3,1,06:00, ,11.3,,10.4,,95.0,,,M,,M,,,98.25,,,,,,
7,2017,3,1,07:00, ,11.1,,10.2,,94.0,,,M,,M,,,98.21,,,,,,
8,2017,3,1,08:00, ,10.4,,9.3,,93.0,,,M,,M,,,98.03,,,,,,
9,2017,3,1,09:00, ,10.5,,9.4,,93.0,,,M,,M,,,98.12,,,,,,
10,2017,3,1,10:00, ,12.3,,9.8,,85.0,,,M,,M,,,97.99,,,,,,
11,2017,3,1,11:00, ,12.2,,8.8,,80.0,,,M,,M,,,97.89,,,,,,
12,2017,3,1,12:00, ,11.9,,8.2,,78.0,,,M,,M,,,97.92,,,,,,
13,2017,3,1,13:00, ,11.1,,7.7,,80.0,,,M,,M,,,97.87,,,,,,
14,2017,3,1,14:00, ,12.6,,8.8,,78.0,,,M,,M,,,97.83,,,,,,
15,2017,3,1,15:00, ,12.8,,8.4,,74.0,,,M,,M,,,97.73,,,,,,
16,2017,3,1,16:00, ,11.7,,7.5,,76.0,,,M,,M,,,97.66,,,,,,
17,2017,3,1,17:00, ,11.4,,8.7,,84.0,,,M,,M,,,97.59,,,,,,
18,2017,3,1,18:00, ,9.8,,7.1,,83.0,,,M,,M,,,97.56,,,,,,
19,2017,3,1,19:00, ,11.1,,6.9,,75.0,,,M,,M,,,97.65,,,,,,
20,2017,3,1,20:00, ,8.1,,3.3,,72.0,,,M,,M,,,97.89,,,,,,
21,2017,3,1,21:00, ,5.6,,0.3,,69.0,,,M,,M,,,98.07,,,,,,
22,2017,3,1,22:00, ,3.6,,-2.6,,64.0,,,M,,M,,,98.2,,,,,,
23,2017,3,1,23:00, ,1.5,,-4.5,,64.0,,,M,,M,,,98.32,,,,,,
24,2017,3,2,00:00, ,-0.1,,-5.9,,65.0,,,M,,M,,,98.44,,,,,,
25,2017,3,2,01:00, ,-1.8,,-9.1,,57.0,,,M,,M,,,98.64,,,,,,
26,2017,3,2,02:00, ,-4.7,,-12.7,,53.0,,,M,,M,,,98.88,,,,,,
27,2017,3,2,03:00, ,-5.7,,-13.0,,56.0,,,M,,M,,,99.03,,,,,,
28,2017,3,2,04:00, ,-5.8,,-11.1,,66.0,,,M,,M,,,99.25,,,,,,
